Team,SRS,ORtg,DRtg,TS%,eFG%
Golden State Warriors,11.35,115.6,104.0,.597,.563
San Antonio Spurs,7.13,111.1,103.5,.564,.524
Houston Rockets,5.84,114.7,109.0,.583,.545
Toronto Raptors,3.65,112.3,107.8,.561,.517
Los Angeles Clippers,4.42,112.7,108.2,.574,.537
Utah Jazz,4.00,109.6,105.3,.563,.526
Cleveland Cavaliers,2.87,113.6,110.3,.580,.547
Boston Celtics,2.25,111.2,108.4,.567,.525
Washington Wizards,1.36,111.2,109.3,.564,.528
Miami Heat,0.77,107.8,106.7,.541,.512
Oklahoma City Thunder,1.14,108.3,107.5,.540,.500
Memphis Grizzlies,0.96,107.7,107.1,.535,.491
Denver Nuggets,0.70,113.2,112.7,.568,.530
Chicago Bulls,0.03,107.4,107.0,.530,.487
Charlotte Hornets,-0.07,108.8,108.6,.547,.501
Indiana Pacers,-0.64,108.6,108.8,.558,.516
Milwaukee Bucks,-0.45,109.1,109.3,.565,.527
Portland Trail Blazers,-0.23,110.3,110.8,.559,.520
Atlanta Hawks,-1.23,104.9,105.7,.541,.504
Detroit Pistons,-1.29,106.0,107.1,.521,.492
Minnesota Timberwolves,-0.64,110.8,112.0,.555,.511
New Orleans Pelicans,-1.69,105.2,107.4,.539,.504
Dallas Mavericks,-2.53,105.6,108.8,.541,.505
New York Knicks,-3.87,107.7,111.5,.534,.496
Sacramento Kings,-3.29,107.3,111.3,.556,.516
Phoenix Suns,-5.14,106.6,112.2,.538,.493
Philadelphia 76ers,-5.83,103.2,108.9,.539,.501
Brooklyn Nets,-6.74,104.1,110.7,.551,.507
Orlando Magic,-6.61,103.7,110.5,.524,.489
Los Angeles Lakers,-6.29,106.0,113.0,.537,.501
