Team,SRS,ORtg,DRtg,TS%,eFG%
Milwaukee Bucks,9.41,112.4,102.9,.583,.552
Boston Celtics,5.83,113.3,107.0,.570,.531
Los Angeles Clippers,6.66,113.9,107.6,.577,.535
Toronto Raptors,5.97,111.1,105.0,.574,.536
Los Angeles Lakers,6.28,112.0,106.3,.573,.542
Dallas Mavericks,4.87,116.7,111.7,.581,.545
Miami Heat,2.59,112.5,109.5,.587,.547
Houston Rockets,3.13,112.9,110.1,.578,.537
Utah Jazz,2.52,112.3,109.9,.585,.549
Philadelphia 76ers,2.25,111.3,109.0,.566,.534
Denver Nuggets,2.35,113.1,111.0,.567,.535
Indiana Pacers,1.63,110.0,108.0,.565,.534
Oklahoma City Thunder,2.33,110.8,108.8,.573,.530
Phoenix Suns,0.56,111.7,111.4,.576,.532
Brooklyn Nets,-1.01,108.9,109.5,.554,.520
Orlando Magic,-0.93,108.5,109.5,.544,.506
San Antonio Spurs,-0.65,112.4,113.5,.572,.531
Memphis Grizzlies,-0.91,109.2,110.3,.561,.528
Portland Trail Blazers,-0.61,113.7,114.8,.570,.533
New Orleans Pelicans,-0.55,110.7,111.9,.568,.539
Sacramento Kings,-1.59,110.2,112.2,.566,.534
Chicago Bulls,-4.00,106.7,109.8,.547,.515
Detroit Pistons,-4.38,109.0,112.7,.561,.529
Minnesota Timberwolves,-4.02,108.1,112.2,.551,.514
Washington Wizards,-5.24,110.9,115.5,.562,.523
New York Knicks,-6.72,106.5,113.0,.531,.501
Charlotte Hornets,-7.03,106.3,113.3,.539,.504
Atlanta Hawks,-7.71,107.2,114.8,.554,.515
Cleveland Cavaliers,-7.77,107.5,115.4,.553,.522
Golden State Warriors,-8.12,105.2,113.8,.540,.497
