Team,SRS,ORtg,DRtg,TS%,eFG%
Houston Rockets,8.21,114.7,106.1,.590,.551
Toronto Raptors,7.29,113.8,105.9,.575,.539
Golden State Warriors,5.79,113.6,107.6,.603,.569
Utah Jazz,4.47,108.4,103.9,.564,.527
Philadelphia 76ers,4.30,109.5,105.0,.568,.535
Boston Celtics,3.23,107.6,103.9,.552,.518
Oklahoma City Thunder,3.42,110.7,107.2,.546,.514
San Antonio Spurs,2.89,107.9,104.8,.543,.507
Portland Trail Blazers,2.60,109.1,106.4,.549,.511
Minnesota Timberwolves,2.35,113.4,111.1,.566,.523
Denver Nuggets,1.57,112.5,111.0,.570,.536
Indiana Pacers,1.18,109.5,108.1,.557,.525
New Orleans Pelicans,1.48,109.6,108.3,.573,.541
Cleveland Cavaliers,0.59,112.9,111.9,.584,.547
Washington Wizards,0.53,109.3,108.7,.560,.525
Miami Heat,0.15,106.8,106.3,.551,.520
Charlotte Hornets,0.07,109.4,109.1,.549,.508
Los Angeles Clippers,0.15,110.3,110.2,.564,.527
Detroit Pistons,-0.26,107.2,107.3,.543,.512
Milwaukee Bucks,-0.45,109.8,110.1,.571,.531
Los Angeles Lakers,-1.44,106.5,108.0,.548,.517
Dallas Mavericks,-2.70,106.3,109.5,.544,.513
New York Knicks,-3.53,107.1,110.7,.544,.510
Brooklyn Nets,-3.67,106.9,110.6,.551,.514
Orlando Magic,-4.92,105.2,110.1,.545,.512
Atlanta Hawks,-5.30,105.0,110.6,.547,.512
Memphis Grizzlies,-5.81,104.5,111.0,.539,.500
Chicago Bulls,-6.84,103.8,110.9,.529,.497
Sacramento Kings,-6.60,103.7,111.1,.529,.502
Phoenix Suns,-8.80,103.5,112.8,.532,.495
