Team,SRS,ORtg,DRtg,TS%,eFG%
Golden State Warriors,11.35,113.2,100.9,.590,.562
Utah Jazz,8.04,116.5,106.8,.600,.567
Phoenix Suns,6.13,111.2,104.7,.576,.544
Chicago Bulls,3.88,111.1,106.6,.571,.533
Milwaukee Bucks,3.06,110.7,106.6,.562,.533
Brooklyn Nets,3.44,110.2,106.5,.574,.536
Miami Heat,3.29,111.4,108.0,.567,.530
Cleveland Cavaliers,3.45,107.8,105.0,.557,.523
Atlanta Hawks,2.98,113.2,110.7,.564,.531
Boston Celtics,1.90,109.6,107.2,.553,.512
Philadelphia 76ers,0.81,110.1,109.0,.559,.522
Los Angeles Clippers,0.50,106.3,105.4,.553,.520
Minnesota Timberwolves,0.49,107.6,106.7,.536,.503
Indiana Pacers,1.05,108.7,108.0,.551,.522
Denver Nuggets,0.97,108.8,108.6,.560,.536
San Antonio Spurs,-0.48,107.1,107.1,.542,.522
Washington Wizards,-0.24,108.0,108.2,.556,.521
Memphis Grizzlies,-0.23,111.4,111.9,.547,.518
Charlotte Hornets,0.17,112.0,112.5,.561,.533
New York Knicks,-0.90,109.2,110.0,.551,.517
Toronto Raptors,-0.09,109.4,110.3,.529,.497
Dallas Mavericks,-1.62,107.7,109.4,.543,.516
Los Angeles Lakers,-2.84,107.1,108.8,.557,.528
Portland Trail Blazers,-1.28,111.7,114.0,.563,.530
Sacramento Kings,-2.53,108.3,111.3,.548,.513
New Orleans Pelicans,-5.40,106.0,112.8,.530,.491
Houston Rockets,-8.62,101.9,109.2,.542,.512
Detroit Pistons,-8.55,100.5,110.3,.512,.470
Orlando Magic,-9.08,101.4,111.4,.521,.489
Oklahoma City Thunder,-9.83,99.6,109.8,.505,.472
