Team,SRS,ORtg,DRtg,TS%,eFG%
Utah Jazz,8.97,117.6,108.3,0.597,0.563
Los Angeles Clippers,6.02,117.6,111.2,0.599,0.564
Phoenix Suns,5.67,117.2,111.3,0.597,0.564
Milwaukee Bucks,5.57,117.2,111.4,0.593,0.566
Philadelphia 76ers,5.28,113.2,107.6,0.579,0.541
Denver Nuggets,4.82,117.1,112.1,0.588,0.557
Brooklyn Nets,4.24,118.3,113.8,0.61,0.575
Los Angeles Lakers,2.77,109.9,107.1,0.569,0.536
Dallas Mavericks,2.26,115.4,113,0.582,0.55
New York Knicks,2.13,110.6,108.2,0.559,0.524
Atlanta Hawks,2.14,115.7,113.3,0.581,0.539
Portland Trail Blazers,1.81,117.8,116,0.577,0.54
Boston Celtics,1.32,114,112.5,0.574,0.543
Golden State Warriors,1.1,111.1,110.1,0.583,0.551
Memphis Grizzlies,1.07,112,111,0.56,0.528
Miami Heat,-0.06,111.2,111.2,0.581,0.546
Indiana Pacers,-0.13,112.4,112.4,0.575,0.542
New Orleans Pelicans,-0.2,113.5,113.8,0.57,0.537
Toronto Raptors,-0.54,112,112.5,0.567,0.529
Chicago Bulls,-0.94,111.1,112,0.575,0.547
San Antonio Spurs,-1.58,111,112.8,0.554,0.517
Washington Wizards,-1.85,111.2,113,0.569,0.531
Charlotte Hornets,-1.94,110.9,112.8,0.564,0.532
Sacramento Kings,-3.45,113.6,117.2,0.578,0.549
Detroit Pistons,-4.38,108,112.5,0.556,0.519
Minnesota Timberwolves,-5.25,109.5,115,0.555,0.52
Houston Rockets,-7.5,107.1,114.9,0.553,0.521
Cleveland Cavaliers,-8.19,105.8,114.4,0.543,0.508
Orlando Magic,-9.02,105.1,114.5,0.527,0.49
Oklahoma City Thunder,-10.13,103.5,114,0.539,0.509
