Team,SRS,ORtg,DRtg,TS%,eFG%
San Antonio Spurs,10.28,110.3,99.0,.564,.526
Golden State Warriors,10.38,114.5,103.8,.593,.563
Oklahoma City Thunder,7.09,113.1,105.6,.565,.524
Cleveland Cavaliers,5.45,110.9,104.5,.558,.524
Toronto Raptors,4.08,110.0,105.2,.552,.504
Los Angeles Clippers,4.13,108.3,103.8,.556,.524
Atlanta Hawks,3.49,105.1,101.4,.552,.516
Boston Celtics,2.84,106.8,103.6,.531,.488
Charlotte Hornets,2.36,107.1,104.3,.545,.502
Utah Jazz,1.84,105.9,103.9,.540,.501
Miami Heat,1.50,106.1,104.4,.545,.508
Indiana Pacers,1.62,104.6,102.9,.536,.497
Portland Trail Blazers,0.98,108.8,108.0,.548,.511
Detroit Pistons,0.43,106.1,105.5,.522,.491
Houston Rockets,0.34,108.3,108.1,.553,.516
Dallas Mavericks,-0.02,106.7,107.0,.544,.502
Washington Wizards,-0.50,105.3,105.8,.544,.511
Chicago Bulls,-1.46,105.0,106.5,.526,.487
Orlando Magic,-1.68,105.1,106.8,.533,.500
Sacramento Kings,-2.32,106.0,108.4,.546,.510
Memphis Grizzlies,-2.14,105.4,107.8,.524,.477
New York Knicks,-2.74,104.6,107.6,.527,.483
Denver Nuggets,-2.81,105.6,108.9,.531,.489
Minnesota Timberwolves,-3.38,106.5,110.1,.549,.498
New Orleans Pelicans,-3.56,105.6,109.5,.537,.498
Milwaukee Bucks,-3.98,104.3,108.7,.537,.499
Phoenix Suns,-6.32,102.2,109.0,.526,.487
Brooklyn Nets,-7.12,103.2,110.9,.527,.492
Los Angeles Lakers,-8.92,101.6,111.6,.509,.460
Philadelphia 76ers,-9.92,98.8,109.2,.519,.487
